Category Name,Course Name,First Instructor Name,Course Description,# of Students,# of Ratings
personal-development,Learn English: Intermediate Grammar Specialization,Tamy Chapman,"This specialization covers common topics in intermediate grammar, such as perfect verb tenses and adjective clauses. It will also cover ""tricky English"" grammar topics that learners of English often find frustrating. The capstone will give you a chance to review all of the knowledge you've learned in the courses and create a multi-media ""scrapbook"" of grammar to keep with you after the specialization ends.","107,489","3,710"
personal-development,Intuit Bookkeeping Professional Certificate,Intuit Professional Development,"Whether you are starting out or looking for a career change, the Intuit Bookkeeping Professional Certificate prepares you for a variety of jobs in public accounting, private industry, government, and non-profit organizationsâand for the Intuit Certified Bookkeeping Professional exam. If you are detail-oriented and passionate about solving clientsâ problems, this program is for you. Youâll gain a foundational understanding of accounting principles and an introduction to QuickBooks Online through hands-on practice working with real-world accounting scenarios. Upon completion, youâll be ready to take the Intuit Certified Bookkeeping Professional exam. With this certification, you will be qualified to apply for a position as a bookkeeper at Intuit QuickBooks Live or anywhere in the field. To learn more, visit https://home.pearsonvue.com/intuit. Build a foundation of bookkeeping concepts and accounting measurement.

Learn how to work through the phases of the accounting cycle to produce key financial statements.

Practice interpreting and analyzing financial statements to make key business decisions.

You will need access to spreadsheet software (Excel, Google Sheets, Numbers or the equivalent) for some activities in this course. No previous accounting or bookkeeping experience necessary.

Disclaimer: While this program aims to provide you with bookkeeping skills, completion is not a guarantee, or condition, of employment at Intuit or in the bookkeeping field.","53,386","2,847"
personal-development,Introduction to Personal Branding,"Kimberley  Barker, MLIS","Though the concept of personal branding isn't new, questions remain about how to create one and, more importantly, what it means to maintain and inhabit that brand. Learners will:

o	Understand both what personal branding means and what it means to inhabit their brand
o	Establish themselves on at least three social media platforms 
o	Create a mission statement for their personal brand
o	Build a board of directors for their brand
o	Become familiar with the basics of digital security and reputation management
o	Create a system for on-going brand maintenance 

Join instructor Kimberley R. Barker as she provides a warm, supportive atmosphere in which learners are encouraged to intensively explore themselves in order to create a personal brand that authentically and effectively communicates their values and professional gifts. Together we will build a strong community in which to provide encouragement and feedback, and support each other as learners pursue their goal of successful brand creation.","264,741","8,394"
personal-development,How to Write a Resume (Project-Centered Course),Holly Justice,"What youâll achieve: In this project-centered course*, you will craft an essential cornerstone of the modern-day job or internship search: the resume. Youâll review resume best practices and explore current trends with guidance from a professional career counselor and recruiter, and youâll exchange structured feedback with your peers as you work to polish your own resume. When you complete the course, youâll have an eye-catching resume that lets your professional strengths shine. 

What youâll need to get started:
This course is designed primarily for young professionals or college students who are writing their first resume or looking to give an old resume a fresh and polished professional look. All job seekers will benefit from the course material and project, however, regardless of their career stage or professional background. All you will need is word processing software that allows you to create a resume on a computer- there are free tools available. 

*About Project-Centered Courses: Project-centered courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of like-minded supportive learners with similar goals providing guidance and suggestions along the way. By actively applying new concepts as you learn, youâll master the course content more efficiently; youâll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, youâll have a finished project that youâll be proud to use and share.","203,985","3,668"
personal-development,Personality Types at Work,Toni Ratliff,"Knowing yourself, your team, your manager, and your organization are keys to personal and business success. What were once labeled soft skills are now modern requirements in today's workplace - especially if you are trying to get in the door or are already leading a team. This course is specifically designed for the:-Job Seeker: You will create a usable cover letter with feedback from your peers as well as develop exceptional responses to some of the most common, yet challenging interview questions. We will get you the skills to help get in the door!

       -Team Member: You will develop an action plan to confront your personality weaknesses and highlight your strengths so you can ace your annual review. We will also cover strategies that will help you uncover your true worth so you can ask with more confidence. We will get you the skills to get ahead!

       -Manager: You will create an effective action plan for an employee, team, or organization based on your new knowledge of personality types and you will create a 360 degree review plan to better identify your strengths and weaknesses. We will get you the skills to rise above the rest!

We will dive deep into the types and teach you how to translate your new knowledge into business success by leveraging personality and emotional intelligence in the workplace - wherever you may be!  Join us!","69,371",638
personal-development,Career Success Specialization,"Rob Stone, PMP, M.Ed.","This series of courses will help you build, develop and hone the essential skills needed to improve your employability and advancement in todayâs dynamic workforce. The courses in this Specialization may be taken in any order. Each course can also be taken independently. The Specialization concludes with a Capstone project that will give you the opportunity to integrate and apply the skills you have gained throughout the courses to your individual and organizational needs.","177,480","13,722"
personal-development,Career Self-Management Training and Certification Specialization,Dr. Valeri Chukhlomin,"In the business world, smart organizations use branding and strategic management techniques to differentiate themselves from their competition and to achieve a competitive advantage. In this Specialization, you will learn how to use proven brand management methods and tools for individual career development in competitive job environments. You will gain knowledge and analytical skills for career self-management and learn techniques for career brand building. You will create a robust self-management information system that will help you self-organize and increase your human capital by building high demand employability skills. During each week of the Specialization, you will be practicing various career branding techniques in your custom-built, individual Career Development Lab. The final Capstone Project is designed as a training facility where you will create your evidence-based portfolios, professional development plans, personal self-marketing and branding strategies, presentations, and public profiles.","12,250",212
personal-development,Interviewing and Resume Writing in English Specialization,Charles Duquette,"This specialization will help you develop the English language strategies and communication skills you need to advance in your professional career. Whether you already have a successful career and are looking to move forward, whether youâre looking to change careers, whether youâre starting out in the world of work, or whether youâre coming back into the world of work after some time away â if you believe in working for more than a paycheck, then this specialization will help you. The core courses cover preparing for a successful job search, including self research and research of the job market and industries of interest; strengthening your interview skills by recognizing what hiring managers are looking for and taking steps to prepare for the types of tough questions today's premier companies use; and preparing a resume, cover letter and supporting business documents. The capstone will allow you to apply the skills you learn in this specialization to your own job search.

A key benefit of this specialization is the opportunities you'll have to practice your interviewing skills with other job-seekers from around the world. Youâll give them feedback and theyâll give you feedback. In this process, youâll gain new insight into what makes a speaker successful and youâll gain confidence in your English interviewing skills.","28,935",251
personal-development,Professional IQ: Preventing and Solving Problems at Work Specialization,C. K. Gunsalus,"In this Specialization, Professional IQ: Preventing Solving Problems at Work, learners use real-world dilemmas and ethical problems experienced by professionals around the world to clarify and articulate their personal values as a foundation for the issues they face. Many successful people use these skills every dayâand you should too: making strong decisions; recognizing and avoiding career-damaging pitfalls; preventing and resolving conflicts so as to be value-added members of teams; knowing how and when to apologize effectively; knowing how to ask constructive questions that advance work; and honing leadership skillsâwhether for being influential at work or holding a position of authority. Learners develop a Personal Leadership Credo, as part of a portfolio applying the skills from the course in situations that learners develop themselves.

This Specialization features guest speakers from the following organizations: The University of Illinois Community Credit Union; ZipDX; Rosentreter Group; University of Kansas; Studio Helix Medical Exercise and Bodywork, LLC; Advanced Micro Devices; Vedder Price, P.C.; Circuit Court of Cook County; Sierra Training Associates Inc.; and the University of Illinois at Urbana-Champaign.

For the names and biographies of individual guest speakers, please see the ""Guest Experts"" page within each course.","2,925",66
personal-development,Aprendizaje de las matemÃ¡ticas de primaria,Pedro GÃ³mezTop Instructor,"En este segundo curso de acceso gratuito* del programa especializado EducaciÃ³n MatemÃ¡tica para profesores de primaria, conocerÃ¡s las cuestiones particulares sobre el aprendizaje de las matemÃ¡ticas y las dificultades y los errores mÃ¡s frecuentes que tienen que enfrentar los estudiantes al aprenderlas.El curso tiene una duraciÃ³n aproximada de seis semanas, con una dedicaciÃ³n promedio de 4 horas semanales. Todas las evaluaciones tienen retroalimentaciÃ³n y podrÃ¡s descargar la mayorÃ­a de los recursos del curso.

Este curso se basa en la informaciÃ³n que presentamos en el primer curso del programa (Contenido) y su informaciÃ³n se usarÃ¡ en el tercer curso (EnseÃ±anza). Estos cursos tambiÃ©n estÃ¡n disponibles en Coursera.

Este curso incluye videos de presentaciÃ³n y explicaciÃ³n de los temas, actividades de aprendizaje y evaluaciÃ³n, mapas conceptuales, y bibliografÃ­a adicional. La evaluaciÃ³n estÃ¡ diseÃ±ada para que recibas realimentaciÃ³n que queda registrada en la plataforma, de manera que puedas continuar con tu progreso al conectarte nuevamente. Puedes descargar la mayorÃ­a de los contenidos para que los uses sin conexiÃ³n a Internet. 

La Universidad de los Andes desarrollÃ³ el programa especializado EducaciÃ³n MatemÃ¡tica para profesores de primaria gracias al apoyo de United Way Colombia, el Fondo Puentes de CaÃ±a, la FundaciÃ³n SM y la FundaciÃ³n Compartir, con la colaboraciÃ³n de la FundaciÃ³n de la Universidad de los Andes en Nueva York, Estados Unidos.

* Al inscribirte al curso, puedes elegir la opciÃ³n que mÃ¡s te interese: sin certificaciÃ³n, en cuyo caso tendrÃ¡s acceso a todo el contenido y evaluaciones del curso de forma gratuita; o con certificaciÃ³n, en cuyo caso deberÃ¡s aprobar un cuestionario de evaluaciÃ³n por mÃ³dulo y cumplir con los demÃ¡s requisitos de la plataforma: hacer la verificaciÃ³n de identidad al presentar las evaluaciones obligatorias, lograr el porcentaje mÃ­nimo para pasar el curso y pagar directamente a Coursera el precio de la certificaciÃ³n anunciado en la plataforma.","12,455",310
personal-development,Understanding Medical Research: Your Facebook Friend is Wrong,F. Perry WilsonTop Instructor,"How can you tell if the bold headlines seen on social media are truly touting the next big thing or if the article isn't worth the paper it's printed on? Understanding Medical Studies, will provide you with the tools and skills you need to critically interpret medical studies, and determine for yourself the difference between good and bad science. 

The course covers study-design, research methods, and statistical interpretation. It also delves into the dark side of medical research by covering  fraud, biases, and common misinterpretations of data. Each lesson will highlight case-studies from real-world journal articles.

By the end of this course, you'll have the tools you need to determine the trustworthiness of the scientific information you're reading and, of course, whether or not your Facebook friend is wrong.

This course was made possible in part by the George M. O'Brien Kidney Center at Yale.","73,762","1,656"
personal-development,The Science of Well-Being,Laurie SantosTop Instructor,"In this course you will engage in a series of challenges designed to increase your own happiness and build more productive habits. As preparation for these tasks, Professor Laurie Santos reveals misconceptions about happiness, annoying features of the mind that lead us to think the way we do, and the research that can help us change. You will ultimately be prepared to successfully incorporate a specific wellness activity into your life.THE SCIENCE OF WELL BEING WAS PRODUCED IN PART DUE TO THE GENEROUS FUNDING OF THE DAVID F. SWENSEN FUND FOR INNOVATION IN TEACHING.","4,123,103","34,669"
personal-development,Everyday Parenting: The ABCs of Child Rearing,"Alan E. Kazdin, PhD, ABPP","Everyday Parenting gives you access to a toolkit of behavior-change techniques that will make your typical day in the home easier as you develop the behaviors you would like to see in your child. The lessons provide step-by-step instructions and demonstrations to improve your course of action with both children and adolescents.  Among many techniques, you will learn how even simple modifications to tone of voice and phrasing can lead to more compliance.  The course will also shed light on many parenting misconceptions and ineffective strategies that are routinely used.The key to the course is practice. It is not enough to know the strategies; you have to do them to reap the rewards. Using the techniques on a temporary basis will lead to permanent change. 

Chances are your parenting is perfectly fine and working the way you would like.  But if you have any frustrations with your child or would like improve your effectiveness in changing your childâs behavior, these videos will be a very useful guide.

Subtitles available in Chinese and Spanish.","179,006","2,536"
personal-development,Formadores de CiudadanÃ­a,Ana MarÃ­a VelÃ¡squez,"Gracias por acompaÃ±arnos en el curso Formadores de CiudadanÃ­a. Este curso desarrolla y fortalece sus capacidades para formar, en la escuela, a ciudadanos que actÃºen de manera constructiva en una sociedad democrÃ¡tica, particularmente en tres Ã¡mbitos de la ciudadanÃ­a: la convivencia pacÃ­fica, la participaciÃ³n democrÃ¡tica y la valoraciÃ³n de las diferencias.Si estÃ¡ interesado en aportar a la construcciÃ³n de una sociedad pacÃ­fica, democrÃ¡tica e incluyente a travÃ©s de la educaciÃ³n, este es el lugar donde puede aprender herramientas pedagÃ³gicas primordiales para cumplir esa misiÃ³n. Si bien el curso presenta ideas que pueden ser Ãºtiles para actores educativos en general, los ejemplos y estrategias estÃ¡n particularmente dirigidos a docentes de contextos escolares.

Teniendo en cuenta que formar para el ejercicio activo, crÃ­tico y constructivo de la ciudadanÃ­a es una necesidad prioritaria en los contextos actuales, el curso presenta los temas, asuntos, problemas y conceptos indispensables para promover el desarrollo de competencias ciudadanas de niÃ±os, niÃ±as y jÃ³venes en formaciÃ³n. Para lograrlo se propone analizar la ciudadanÃ­a a travÃ©s de la ampliaciÃ³n progresiva de sus contextos de aplicaciÃ³n: el individual, el interpersonal, el grupal, el comunitario y el mundial.

Adicionalmente a estas comprensiones conceptuales, el curso ofrece la oportunidad de desarrollar capacidades didÃ¡cticas en los participantes, quienes podrÃ¡n diseÃ±ar estrategias pedagÃ³gicas orientadas al desarrollo de las competencias ciudadanas de sus educandos y a la construcciÃ³n de ambientes democrÃ¡ticos de aprendizaje que favorezcan dicho desarrollo.

Las actividades propuestas en el curso estÃ¡n diseÃ±adas de tal forma que los participantes puedan apropiarse de herramientas conceptuales y pedagÃ³gicas a partir del principio de âaprender haciendoâ, en donde permanentemente estarÃ¡n poniendo en prÃ¡ctica dichos aprendizajes. Este es un curso ampliamente flexible que permite a los participantes escoger diferentes rutas de aprendizaje para concentrarse en los contenidos de su interÃ©s y/o en el nivel de profundizaciÃ³n que quieren alcanzar para cada uno de ellos. Es asÃ­ como el curso permitirÃ¡, especialmente a docentes escolares, desarrollar y fortalecer las capacidades que les permitan educar para la ciudadanÃ­a, formando ciudadanos activos y crÃ­ticos, que respeten la diferencia, que conozcan y hagan uso de los mecanismos de participaciÃ³n para la transformaciÃ³n de sus comunidades y que resuelvan pacÃ­fica y constructivamente los conflictos y retos que les plantea la sociedad en su rol como ciudadanos de su vida, de su comunidad y del mundo.

El diseÃ±o de este curso fue realizado en el marco de la segunda fase del SREDECC (Sistema Regional de EvaluaciÃ³n y Desarrollo de Competencias Ciudadanas), un escenario latinoamericano de cooperaciÃ³n tÃ©cnica, financiado por el Banco Interamericano de Desarrollo (BID) y operado por la FundaciÃ³n Antonio Restrepo Barco.  En su segunda fase fue liderado por los Ministerios de EducaciÃ³n de Costa Rica, Colombia y MÃ©xico.","14,436",435
personal-development,Liderazgo para el Siglo XXI: proyecto final,HÃ©ctor F. HernÃ¡ndez V.Top Instructor,"Este curso estÃ¡ diseÃ±ado para acompaÃ±arte en seleccionar un desafÃ­o personal de liderazgo y aplicar herramientas con las cuales realizarÃ¡s experimentos y evaluarÃ¡s el ciclo de diagnÃ³stico y acciÃ³n en tu tema. Asimismo, serÃ¡s consiente de cÃ³mo en el proceso, el fracaso y la resiliencia te ayudarÃ¡n a avanzar en tus restos de liderazgo. Al finalizar este curso estarÃ¡s en capacidad de:1.	Utilizar herramientas de diagnÃ³stico y acciÃ³n para avanzar en un proyecto de liderazgo propio.
2.	Practicar y profundizar el uso de narrativas y otras herramientas de comunicaciÃ³n (con uno mismo y con otros) para fortalecer el ejercicio personal de liderazgo.
3.	Desarrollar resiliencia, una habilidad que permite perseverar en proyectos de liderazgo.

El Programa especializado en âLiderazgo Efectivo para el Siglo XXIâ, es el primer programa especializado en lÃ­nea, abierto y masivo que se produce desde el Centro de Liderazgo PÃºblico (CLP) de la Escuela de Gobierno Alberto Lleras Camargo de la Universidad de los Andes, Colombia. El CLP tiene como misiÃ³n crear conocimiento y capacidad de liderazgo para ayudar a que progresemos en los temas complejos que mÃ¡s nos importan en el mundo actual. 

El programa fue diseÃ±ado por Maite Careaga TagÃ¼eÃ±a, PhD y HÃ©ctor Fabio HernÃ¡ndez, MPP, con el apoyo de Saluma Castillo y el equipo Conecta-TE de la Universidad de los Andes, Colombia, y estÃ¡ inspirado en los cursos y talleres  de liderazgo que Maite lleva 15 aÃ±os diseÃ±ando y facilitando  (los primeros los diseÃ±Ã³ junto con Felipe Bozzo y SebastiÃ¡n Quirmbach en Leaderbuilding) y en las lecciones aprendidas  al investigar cÃ³mo diseÃ±ar y evaluar estrategias pedagÃ³gicas para enseÃ±ar habilidades personales y sociales para el liderazgo.

Este curso ha sido diseÃ±ado como el cuarto y Ãºltimo del programa especializado (https://www.coursera.org/specializations/liderazgo), el cual te permitirÃ¡ adueÃ±arte de una metodologÃ­a de intervenciÃ³n, que llamamos espiral de liderazgo consciente, y desarrollar y aplicar una caja de herramientas para movilizar personas (a sÃ­ mismo y a otros) a trabajar en solucionar los desafÃ­os complejos que las afectan e importan. Los otros tres cursos del programa son: ""Estilos de Liderazgo: opciones para avanzar en desafÃ­os complejos"", ""Autoliderazgo y GestiÃ³n de Emociones para Avanzar en DesafÃ­os Complejos"" y ""ComunicaciÃ³n, ExperimentaciÃ³n y Aprendizaje en Liderazgo"". Puedes tomar todos los cursos por separado o sÃ³lo uno de ellos, sin embargo te recomendamos que te inscribas y participes en los cuatro, ojalÃ¡ en el orden que te proponemos.","6,268",273
personal-development,Aprendendo a aprender: ferramentas mentais poderosas para ajudÃ¡-lo a dominar assuntos difÃ­ceis (em PortuguÃªs) [Learning How to Learn],Barbara Oakley,"Este curso dÃ¡-lhe acesso fÃ¡cil a tÃ©cnicas de aprendizagem de valor inestimÃ¡vel, usadas por especialistas em Arte, MÃºsica, Literatura, MatemÃ¡tica, CiÃªncia, Esportes e muitas outras disciplinas. Vamos aprender sobre a forma como o cÃ©rebro usa dois modos de aprendizagem muito diferentes e como ele encapsula (em ""pedaÃ§os"") informaÃ§Ãµes. TambÃ©m vamos falar sobre ilusÃµes de aprendizagem, tÃ©cnicas de memÃ³ria, lidar com a procrastinaÃ§Ã£o, e as melhores prÃ¡ticas apresentadas pela investigaÃ§Ã£o a ser mais eficaz em o ajudar a dominar assuntos difÃ­ceis.

Usando essas abordagens, nÃ£o importa os seus nÃ­veis de habilidade em tÃ³picos que vocÃª gostaria de dominar, vocÃª pode mudar o seu pensamento e mudar sua vida. 
Se vocÃª jÃ¡ Ã© um especialista, essa ""espiada embaixo do capÃ´"" lhe darÃ¡ ideias para turbinar sua aprendizagem de forma bem sucedida, incluindo dicas contra intuitivas para realizaÃ§Ã£o de testes, que lhe ajudarÃ£o a fazer o melhor uso do seu tempo em deveres de casa e situaÃ§Ãµes de problemas. Se estiver com dificuldades, vocÃª verÃ¡ um tesouro estruturado de tÃ©cnicas prÃ¡ticas que lhe mostrarÃ£o o que precisa fazer para entrar nos trilhos. Se vocÃª jÃ¡ quis melhorar em qualquer coisa, este curso vai servir como um guia.

This is a translated version. To join the original English version, visit this page: https://www.coursera.org/learn/learning-how-to-learn

Este curso estÃ¡ disponÃ­vel tambÃ©m em Espanhol. Para entrar na versÃ£o completamente traduzida, visite esta pÃ¡gina:  https://www.coursera.org/learn/aprendiendo-a-aprenderâ

Este curso estÃ¡ disponÃ­vel tambÃ©m em ChinÃªs. Para entrar na versÃ£o completamente traduzida, visite esta pÃ¡gina: https://www.coursera.org/learn/ruhe-xuexi","190,216","3,680"
personal-development,Ensino HÃ­brido: PersonalizaÃ§Ã£o e Tecnologia na EducaÃ§Ã£o,Lilian Bacich,"Neste curso, oferecido pela FundaÃ§Ã£o Lemann em parceria com o Instituto PenÃ­nsula, vocÃª terÃ¡ a oportunidade de aprender, a partir de experiÃªncias reais, como integrar as tecnologias digitais no seu contexto escolar. As vivÃªncias compartilhadas pelos diferentes professores envolvidos neste curso lhe proporcionarÃ¡ reflexÃµes sobre os modelos de Ensino HÃ­brido e sua relaÃ§Ã£o com a personalizaÃ§Ã£o do ensino.A expectativa Ã© apresentar a vocÃª possibilidades de integraÃ§Ã£o das tecnologias digitais ao currÃ­culo escolar, de forma a alcanÃ§ar uma sÃ©rie de benefÃ­cios no dia a dia da sala de aula, entre elas:

AproximaÃ§Ã£o da realidade escolar com o cotidiano do aluno;
Maior engajamento dos alunos no aprendizado;
Melhor aproveitamento do tempo do professor;
AmpliaÃ§Ã£o do potencial do professor para intervenÃ§Ãµes efetivas;
Planejamento personalizado.

A carga horÃ¡ria prevista para a conclusÃ£o do curso Ã© de 40h.

Vamos lÃ¡? Comece agora mesmo!","24,081",618
personal-development,Arizona State University TESOL Professional Certificate,Emilia GraciaTop Instructor,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university.","43,002","4,657"
personal-development,Writing in the Sciences,Dr. Kristin Sainani,"This course teaches scientists to become more effective writers, using practical examples and exercises. Topics include: principles of good writing, tricks for writing faster and with less anxiety, the format of a scientific manuscript, peer review, grant writing, ethical issues in scientific publication, and writing for general audiences.","368,812","7,131"
personal-development,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrÃ¡s dominar temas difÃ­ciles (Learning How to Learn),Barbara Oakley,"Este curso te brinda acceso a invaluables tÃ©cnicas de aprendizaje utilizadas por expertos en arte, mÃºsica, literatura, matemÃ¡ticas, ciencia, deportes y muchas otras disciplinas. Aprenderemos cÃ³mo el cerebro utiliza dos modos de aprendizaje muy distintos y cÃ³mo encapsula (âfragmentaâ) la informaciÃ³n. TambiÃ©n hablaremos sobre ilusiones de aprendizaje, tÃ©cnicas de memoria, cÃ³mo ocuparse de la procrastinaciÃ³n y las mejores prÃ¡cticas, segÃºn lo demuestra la investigaciÃ³n, para ayudarte a dominar los temas mÃ¡s complicados.Con estos enfoques, mÃ¡s allÃ¡ de tus niveles de destreza en los temas que quieras dominar, puedes cambiar tu pensamiento y tu vida. Si ya eres un experto, este vistazo de la maquinaria cerebral te darÃ¡ ideas para disparar un nuevo aprendizaje poderoso, con consejos contraintuitivos para presentar exÃ¡menes y perspectivas que te ayudarÃ¡n a aprovechar al mÃ¡ximo el tiempo que dedicas a las tareas y a la resoluciÃ³n de problemas. Si estÃ¡s teniendo dificultades, descubrirÃ¡s un cofre del tesoro estructurado con tÃ©cnicas prÃ¡cticas que te orientan acerca de lo que debes hacer para mejorar. Si alguna vez deseaste ser mejor en algÃºn Ã¡mbito del aprendizaje, este curso te servirÃ¡ como guÃ­a.

Este curso tambiÃ©n estÃ¡ disponible otros idiomas:
Para unirte a la versiÃ³n en inglÃ©s, visita: https://www.coursera.org/learn/learning-how-to-learn
Para unirte a la versiÃ³n en portuguÃ©s, visita: https://www.coursera.org/learn/aprender
Para unirte a la versiÃ³n en chino, visita: https://www.coursera.org/learn/ruhe-xuexi","339,062","9,908"
personal-development,Positive Psychology: Resilience Skills,"Karen Reivich, Ph.D.","Learn how to incorporate resilience interventions into your personal and professional life with Dr. Karen Reivich. In this course, you are exposed to the foundational research in resilience, including protective factors such as mental agility and optimism. Several types of resilience interventions are explored including cognitive strategies; strategies to manage anxiety and increase positive emotions such as gratitude; and a critical relationship enhancement skill. Throughout the course, you will hear examples of individuals using resilience skills in their personal and professional lives.  Suggested prerequisites: Positive Psychology: Martin E. P. Seligmanâs Visionary Science, Positive Psychology: Applications and Interventions and Positive Psychology: Character, Grit & Research Methods.","64,797","1,883"
